,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,type
Gita Fauzi,0.22188096,0.17641084,-0.083604395,-0.015407441,0.06974604,-0.08639897,-0.063484326,0.100712895,-0.36855388,-0.1429039,0.19768059,0.31589872,-0.04146271,-0.09314172,0.028396983,0.37651798,0.12399001,-0.18858841,-0.033035193,0.08741826,-0.10465985,0.06596349,0.4090436,-0.22889261,0.11784162,0.02933375,-0.080643505,-0.4754345,-0.3808757,0.14878489,0.2622455,-0.14442843,-0.12903027,0.0139055075,-0.30324298,-0.14776891,0.23846446,0.07261215,0.27827087,0.26788828,-0.17363441,0.052403476,0.33436516,-0.34286225,0.086726375,0.19313255,0.121883556,-0.10402265,0.0537055,0.5325054,0.15651321,-0.019633038,0.10803229,0.47835794,0.21963696,0.0047077616,0.41670045,-0.029712502,0.045548692,-0.09259877,-0.008962212,0.05429719,0.15045266,-0.08424456,applicant
Nina Saputra,-0.24774317,-0.33627996,0.19295987,0.09497459,0.3173277,-0.13144653,0.03136138,-0.0011893037,-0.3110141,-0.08934757,-0.3003942,0.29551035,0.13607313,0.07540941,0.6103845,0.08384114,-0.14369705,0.123358905,0.40675944,-0.16386731,0.30967224,0.32460168,0.17968865,-0.083092384,0.19066015,0.0960249,0.2223483,-0.0033544458,0.35385743,-0.09741649,0.14618883,-0.028037926,-0.19909027,0.12266245,-0.3407807,-0.013995058,0.03548544,0.1958472,0.24987625,-0.102321334,0.07796706,-0.17865977,0.31745267,-0.39061686,0.05668195,-0.3125907,0.3059923,-0.14558102,0.22120658,0.16401312,-0.14503781,-0.27562994,0.22821866,0.30119875,0.11572948,-0.13688615,-0.14672741,-0.14683048,-0.16160597,-0.07233732,-0.23696487,-0.2588899,0.09399582,-0.28027564,applicant
Oka Permata,-0.19824807,-0.3687762,0.13009664,0.25480565,0.12451693,0.12909044,0.3842861,-0.13111924,-0.35700953,-0.5368535,0.002106194,0.020992102,-0.11002426,-0.1287375,0.21806158,0.3919982,-0.06166944,-0.13693249,0.001148809,-0.01895701,-0.123421244,0.17394991,0.36026952,-0.14455232,-0.092938535,0.17304388,0.20436224,0.21155056,0.2598926,0.02437631,0.12516172,-0.20955245,-0.0041031577,-0.074048035,-0.31262422,-0.006280883,-0.057982028,-0.20212802,0.08821471,0.2432911,0.047707953,-0.17892928,0.295694,-0.2664288,0.0926883,-0.26876777,0.07981397,-0.11311347,0.21606745,0.3987033,-0.09830989,0.06517163,-0.13032547,0.10299911,0.005839453,0.14657392,-0.11965532,0.34503824,-0.09557363,-0.021934085,-0.26564768,-0.22293665,0.13846901,-0.07340278,applicant
Indah Santoso,0.3564437,0.044392977,-0.10496854,0.1645923,0.22314136,-0.09300775,0.04009103,0.12908792,-0.24430196,-0.3868686,-0.14791054,0.26396298,-0.1215319,0.032853693,0.116630055,0.08916888,-0.027351657,-0.52108216,0.33569834,0.18081802,0.498153,0.3007943,0.13270305,-0.118989825,0.18283823,0.22956575,-0.07328525,0.14415051,0.17993633,0.13249892,-0.04405881,-0.093176566,-0.036656175,-0.12665021,-0.050287116,-0.30806306,0.1486495,0.26904827,0.14657405,0.03125597,-0.3248951,-0.021004273,-0.008776605,-0.20852487,0.25250238,0.14872459,-0.07213874,-0.17005602,0.07781353,0.21633257,0.15503927,-0.4411382,-0.048244063,0.28466365,0.3599139,-0.015981345,0.004451571,-0.04662411,-0.011165437,0.05342392,0.0020894594,-0.11658553,-0.0088027995,0.1488441,applicant
Fajar Ramadhan,0.19189677,0.06936187,-0.111944824,-0.32042134,0.2844203,-0.3385035,-0.048589118,0.11008576,-0.5700563,-0.3351224,0.0027753431,0.22729239,-0.14245445,-0.07800119,0.19655603,0.19439626,0.0895297,-0.032928534,0.18672588,0.122758515,0.1038185,-0.15165004,0.3907029,-0.2485014,-0.05700222,-0.07017227,-0.2649678,-0.4081497,-0.08523861,0.35489255,-0.044067226,0.023424838,-0.32376754,0.2390665,0.121942185,-0.088804856,0.2678716,0.21438026,-0.11024589,-0.013321478,0.09234601,0.04277157,0.36013564,0.031118248,-0.06215933,0.0023266342,0.18554349,-0.07555913,0.07273596,0.22222412,0.20911951,-0.02496451,-0.12809752,0.20790666,0.26356664,-0.22321351,0.17438105,0.21694367,0.28799573,0.39292574,-0.08767859,-0.13287625,0.03937222,0.10728588,applicant
Kiki Wijaya,-0.022281984,-0.102583446,0.14304571,-0.21072704,0.27400592,-0.27540892,0.262263,-0.030022517,-0.120657,0.014930738,0.1462666,-0.48030025,0.07465878,-0.116553605,0.02984467,0.21183957,0.22363131,-0.1854124,-0.3804378,0.14097139,0.13912556,0.22585669,0.20700578,0.13615723,0.036714606,-0.088913135,-0.013857191,-0.048331533,-0.08820478,-0.091837585,0.37788576,-0.059238706,-0.29720557,0.19829474,-0.39184627,-0.1288131,0.14065099,-0.20658177,-0.015058223,-0.0028865812,-0.19793233,0.2571555,-0.17364803,-0.027127193,0.114560336,-0.15400647,0.41778123,0.04763637,0.37621132,0.31007773,0.13308667,0.1829284,0.33291975,0.28111276,0.14765464,0.45604193,-0.07973142,0.05016415,-0.24339557,0.44517848,-0.34826192,-0.1690356,0.17168605,-0.24602386,applicant
Eka Saputra,-0.042247735,-0.082834825,-0.20059796,0.04157997,-0.18455802,-0.11892446,-0.33724636,0.119229496,-0.4704461,0.044173423,0.18161076,-0.06465848,-0.13056907,0.008184543,0.37569636,-0.0017692035,-0.31317446,-0.044846553,0.00045575565,0.3487775,0.16376723,0.06578953,0.4633787,-0.45381752,0.115920596,0.21835726,-0.408014,0.14252381,-0.058498703,0.54501593,-0.12325594,0.1315718,0.057307463,-0.0012438133,-0.27868068,0.097309776,0.22542456,0.18527538,-0.0268239,0.072147116,0.02083321,-0.3551656,0.21761674,0.09455885,0.23430015,0.010972471,0.34315377,-0.14103623,-0.092492834,-0.01117599,0.017943637,-0.009466316,0.045962255,0.08673143,0.016875755,0.11818929,0.08012121,-0.06129179,-0.22601959,0.54231584,0.07919724,0.06710002,0.07630355,-0.28206152,applicant
Kiki Wibowo,0.23221506,-0.19780624,0.07670034,0.5960111,-0.14547502,0.35009697,0.1248472,0.4290183,-0.5368649,-0.30686778,0.053240202,0.23877093,-0.15114126,0.09187985,0.36620742,0.34686702,-0.0065182527,-0.282365,-0.24368371,0.015669586,0.07696868,0.31341064,0.5599676,-0.15751944,0.1737475,-0.14474024,0.0072998446,0.22287394,0.009734735,-0.110293426,0.259789,-0.12163276,-0.22352223,0.27221593,-0.1738801,-0.00093224866,-0.0070056277,-0.27421737,0.123298004,0.007136943,0.03424153,-0.02976554,-0.1379591,-0.09419818,0.14874792,-0.30018073,-0.09111624,-0.0062987655,-0.0043881275,-0.090421245,0.097603105,0.11016327,-0.08027327,0.2004659,0.22355533,-0.1715792,0.24653074,0.092705734,0.11952574,0.12238206,-0.036202528,-0.35988587,0.03798971,-0.49933174,applicant
Citra Ramadhan,0.08599044,-0.4181979,-0.13701306,-0.0844164,0.2027658,0.11041113,-0.11083842,-0.046195608,-0.17060763,0.012097928,0.054784287,-0.3439862,0.08716985,0.08338414,0.32561922,0.117483735,0.10851195,0.20760842,-0.042852115,-0.31992123,0.19204713,0.21970686,0.2379777,-0.25125045,0.42182666,-0.093423195,-0.069515996,-0.22617336,0.3260743,0.016980033,0.23513563,-0.00044895557,-0.3653551,0.147861,0.008186194,0.063055724,0.012495057,-0.1820962,0.07654065,0.025824647,0.15869786,-0.10954551,0.40065274,-0.24997947,0.18644765,-0.16989966,0.112581745,0.00038035985,0.1326885,0.113463335,0.13698778,0.17003815,0.24932395,0.2808121,0.14858863,-0.14405781,0.15079848,-0.05321545,-0.11389228,0.29988298,0.14906605,-0.23797221,0.040861733,0.25840217,applicant
Dewi Halim,0.108719006,-0.23400581,0.18575668,0.1698707,0.3878025,-0.0060727517,0.11579806,0.17918055,-0.56750613,-0.05790649,-0.07478888,-0.16835356,-0.5915975,-0.060085226,-0.027201703,-0.039158043,-0.18714012,-0.24043183,0.09298348,0.09222657,-0.22869296,0.24753687,0.31571153,-0.10407508,0.020904262,0.2636442,-0.18725011,-0.1480799,0.05423548,0.6949663,-0.17022872,-0.31508368,0.011511689,-0.108472265,-0.05484197,0.093154885,0.24817152,-0.17804722,-0.15475133,0.16095327,-0.06286251,-0.106196895,0.19960772,0.10950401,0.45302686,0.44175467,0.0065341825,0.04331216,0.08956362,0.17947197,0.2609857,-0.00041390295,0.015442314,0.0802211,-0.21764685,0.17272961,0.20078649,0.18776603,-0.044941355,-0.1522479,-0.20275994,-0.19213386,0.23529808,-0.0029023923,applicant
Lia Permata,0.17021126,0.17515382,0.2003969,0.00062792236,0.18103877,-0.42259544,0.10905348,0.00016975644,-0.16563691,-0.25619888,-0.10720424,-0.00092941034,0.013176938,0.1250941,-0.018774746,0.11130567,-0.06678033,-0.029279314,0.12470923,0.20614648,-0.1469943,0.42536715,0.35492384,-0.42593324,0.026608331,0.17981845,-0.107619576,-0.25520003,0.3148391,-0.023488363,-0.2668854,-0.13086277,0.016687037,0.06464673,0.32892567,-0.15411696,-0.12954165,0.10353784,-0.17827722,-0.017327942,-0.16387783,-0.03319673,-0.13521808,-0.13620198,0.04430032,-0.033116963,0.04983691,0.022649193,-0.025357608,0.1448033,-0.17641626,0.07693424,0.09070184,0.21841773,0.031187754,0.10597665,-0.10056852,-0.2243997,-0.15870845,0.4961263,-0.44100538,-0.46487063,-0.03480105,-0.009965865,applicant
Oka Fauzi,0.015145279,-0.17036021,0.18818888,-0.080416135,-0.17931801,-0.13244018,-0.024239764,-0.06538145,-0.04437736,-0.24778576,-0.27651235,-0.085691474,-0.012100791,-0.2562999,-0.12572843,0.24443161,0.2302223,-0.12867638,0.35658422,-0.15571965,0.1336984,0.08245129,0.4559462,0.061452057,0.33880273,0.27590057,-0.047042407,0.26513246,0.05327872,0.20887099,0.0055603334,-0.016024161,-0.1244303,-0.03623784,0.14802767,-0.20756327,0.15530258,-0.04007717,-0.076334074,0.037726823,0.18199041,0.004090225,0.051680066,-0.12989648,-0.15572274,-0.104746446,0.16197729,-0.3919137,0.11798157,0.27646917,0.23357171,-0.14733578,-0.055665374,0.31602967,0.44744885,0.02760245,-0.029954989,0.25564003,-0.06831528,0.3569781,-0.3593033,-0.55786586,0.29385805,0.20908765,applicant
Dewi Ramadhan,-0.23081093,0.025445012,-0.23448074,0.12839878,0.08077507,0.076565966,0.24871446,-0.1069027,-0.32864928,0.017379314,0.25415388,-0.10658136,-0.08189694,-0.0245779,0.17707103,0.013446727,-0.10456731,-0.050604872,-0.012569415,-0.00073874125,-0.10056591,0.23865692,0.3275383,-0.1021285,0.06425688,0.25336874,-0.060555298,-0.007391176,0.008289223,-0.20354722,0.05793416,-0.45404473,-0.17228,-0.14851719,0.22574703,-0.1012148,0.23714313,0.15848492,0.21618542,-0.21020414,-0.32656685,0.12212889,-0.072054274,-0.4205457,0.12464145,0.10872752,0.22326136,-0.1527943,0.014115009,-0.1659289,0.08908733,-0.23365895,0.33558127,0.20589335,0.1767866,0.39747146,0.35773152,-0.2777892,-0.1325731,0.34054515,-0.0838178,-0.16068703,-0.17497227,0.2187877,applicant
Citra Fauzi,-0.064890526,-0.112153836,-0.121114366,-0.13066436,0.2751803,-0.08120205,0.16531761,-0.09229141,-0.23261386,0.013625639,-0.1520829,-0.14225902,0.019683814,0.104569755,0.1409857,0.07667199,0.11001259,0.1493494,-0.21180068,0.27248663,0.019923579,0.25644848,0.21549556,-0.22975089,0.3306769,-0.2922124,-0.29947758,0.03248128,0.24935709,0.123310305,0.13502139,-0.00038919196,-0.5586881,0.00223773,-0.19642667,-0.120331064,0.09579654,0.25736335,0.16140524,0.09791972,0.05211258,0.018918663,0.4643894,-0.18237923,0.32766408,0.16100177,0.26309764,-0.086636856,0.044370886,0.016476072,0.025676321,-0.14066926,0.66319984,0.14377283,0.16115269,-0.058512475,0.30897975,0.19573891,0.030117808,-0.1162551,-0.1238689,-0.3400884,0.091836095,0.18651298,applicant
Joko Permata,0.31985706,-0.38188758,0.022493454,0.10375998,-0.13182265,0.28310508,0.10696907,0.32052958,-0.18591988,-0.3933958,0.3123813,-0.25912803,-0.37022567,-0.008249613,0.05197238,0.22855963,-0.04746524,0.22639206,0.09456588,0.51061267,-0.012400623,-0.0010134738,0.2728474,-0.32938477,0.198823,0.033327006,-0.046651788,-0.20499556,0.057367407,0.3206247,0.034855146,0.19174638,-0.17965041,0.17659265,-0.16949682,-0.06643477,0.05648685,-0.08880735,0.47457087,0.38805175,0.20039962,0.08808402,0.10402429,0.09669133,0.04463551,0.28282526,-0.14783855,0.111268975,-0.12372267,-0.105253525,-0.056357242,-0.0061445762,-0.06669317,0.35035482,-0.014244121,0.25004253,0.0770511,-0.08897943,0.124518655,0.026639592,-0.22316827,-0.46482235,0.15734534,0.009287967,applicant
Gita Wibowo,0.09862961,-0.0098818885,0.14676723,0.056902613,0.035286203,-0.24390532,-0.18755387,-0.2898925,-0.23776296,-0.16102289,0.07269457,-0.31233674,-0.3771431,0.10007386,-0.060131967,0.45783156,0.29514346,0.23953912,0.033453364,0.40252188,0.10465566,0.54334414,-0.015283498,-0.36965328,0.13772,-0.020730432,-0.1728787,0.19108519,-0.02587894,0.39873013,0.2291956,-0.12193567,0.32163057,-0.07810771,0.2955114,0.034469973,0.14812194,-0.12451897,0.04963523,0.115310565,0.05934063,-0.24236582,0.39059812,-0.0041903113,0.06589533,-0.02299864,-0.017657444,0.115915455,0.10549581,0.2799849,0.035721462,0.031968016,-0.2882722,0.021305699,0.24293347,0.40510052,0.055812232,0.04329564,0.16703513,0.39410773,-0.05626476,-0.20941468,-0.29533744,-0.13496473,applicant
Budi Saputra,0.2232516,-0.10968497,0.005375522,-0.091353044,0.319886,-0.0030414767,0.042189058,-0.113062866,-0.38275138,-0.20208822,0.054387957,0.04992185,-0.2025436,-0.13916178,0.4409364,0.068346225,0.31303605,-0.07488757,0.15567201,-0.29767203,-0.11753507,0.15485772,0.22718348,0.071061306,0.11490485,0.112343386,-0.22217596,-0.27510914,-0.18571597,-0.01810146,0.11181622,0.0069386023,-0.15114203,-0.067398235,0.078283936,-0.19807354,0.13737734,-0.03878771,0.0052324547,-0.06674032,-0.17427826,-0.28128976,0.37300715,-0.19397421,0.34860584,-0.187768,0.20015354,-0.17292301,-0.11271797,0.5222234,0.1775223,-0.13118403,-0.18961246,-0.08333363,0.3769031,0.008267967,-0.008911376,-0.1990392,0.017671442,0.39715448,0.088283055,-0.19529827,-0.08655284,0.24680445,applicant
Joko Wibowo,-0.03878497,-0.18215972,0.23048134,0.058550317,-0.14268368,0.28432024,0.06336607,0.12684037,-0.1060743,-0.29124528,0.033695575,-0.36203498,-0.20125462,-0.33076763,0.12660465,0.048837863,0.0187426,0.2964268,0.2279505,0.15869525,-0.09628664,0.3886781,0.13516982,-0.41164708,-0.0361374,0.13812913,-0.16471829,-0.000609833,0.11381181,-0.31841248,-0.080531076,-0.2389506,-0.26539174,-0.1420536,0.23874542,0.28567424,-0.11389364,-0.091856934,-0.1305611,-0.39926425,-0.108200744,0.13128042,-0.003809972,-0.368414,0.09131945,0.047491822,0.37200868,-0.49023107,0.18690348,0.11377451,0.39140484,0.15925908,0.07416293,0.1737564,-0.00412849,0.0938689,0.19100876,-0.042462386,0.048966687,0.39792186,0.12388501,-0.28071243,0.08009743,0.00097492017,applicant
Hadi Wibowo,0.27012384,-0.30308336,0.3552366,-0.004247756,-0.19028813,-0.06228076,0.10781589,-0.40977126,-0.4648445,0.24605063,-0.05992737,-0.24305277,0.24699835,-0.203929,-0.09719118,-0.08298549,0.07469508,0.06262124,0.24432683,0.2035128,-0.017289586,0.17223446,0.16131654,-0.007813781,0.1728592,0.00730368,-0.21849327,-0.58125156,0.17213453,0.284326,0.18329217,-0.37492922,0.09089787,-0.19393097,0.10183439,-0.17092949,-0.09638593,0.22833215,0.4369906,-0.097142346,-0.14342047,0.12300328,0.009889449,-0.42802486,-0.03661471,-0.24827832,0.11475674,-0.22881803,0.17116763,0.010236902,0.07731037,-0.14903218,0.101713635,0.33328983,0.05480245,0.17451067,0.15987349,-0.35402465,-0.3680553,0.04832008,-0.30717978,-0.33852923,-0.09804299,-0.17666619,applicant
Mira Wijaya,-0.037403066,-0.26955822,-0.09076565,0.054981135,0.15567224,0.036348473,0.07471561,-0.07602105,-0.39775297,-0.23367935,0.4283231,-0.19205739,-0.26915357,-0.24243578,0.09137314,0.2746439,-0.13025282,-0.10175205,-0.0712069,-0.029289244,0.06659608,0.23273198,0.5030152,-0.057119828,-0.08537687,0.15856014,-0.23327416,0.0032821738,0.1521386,0.028789531,0.0640472,-0.24194132,0.026846688,-0.12626748,0.030067444,-0.026282674,0.20573892,0.12323089,0.3070256,0.21799476,-0.071199,0.05654961,0.10395445,0.022223659,-0.22641155,0.09987718,0.017587436,-0.18270776,-0.091251135,-0.16443932,0.07639133,-0.100589536,0.11718461,0.08294525,0.31923702,0.23880994,0.28233317,-0.244457,-0.3111676,0.2345687,-0.09602301,0.103394106,-0.14895949,-0.0071796933,applicant
Oka Halim,-0.3571381,0.33539674,0.11610062,0.19932857,-0.2920524,0.022294424,0.0034363968,-0.25183558,-0.20589125,0.13404559,0.32702786,-0.13645808,-0.15466614,0.19895247,-0.22293851,0.14769602,-0.22597826,0.092123784,0.10751903,0.2568956,-0.27237764,0.045206483,0.6529585,-0.27927113,-0.08090518,0.23745547,-0.33014748,0.056880392,-0.15520908,-0.33365577,0.086594954,0.13940418,-0.3170284,0.050102185,-0.3537723,-0.3088056,0.18194541,0.29991317,-0.22341673,-0.07085936,-0.22171631,-0.07134183,0.113251135,-0.32944733,-0.055183094,-0.06380983,-0.13336253,-0.08363593,0.42513928,0.34484476,0.07831723,-0.10036884,-0.117688805,0.20852803,0.2447339,-0.03479558,0.22743164,-0.06655895,0.10346598,0.26222807,-0.014271641,-0.4891574,-0.03598705,0.13484287,applicant
Fajar Halim,0.31443894,-0.65118814,0.0070427326,0.00502742,0.1772322,0.36034665,-0.082911745,0.14843978,-0.3908461,0.10706841,-0.010331024,-0.0724361,-0.2579289,0.16254301,-0.13218695,-0.20871781,0.12699476,-0.26843318,-0.23342714,-0.18503906,0.3002158,0.32199246,0.448439,-0.36734793,0.04193958,0.0992737,-0.41103414,-0.10154416,-0.124861285,0.17740104,-0.14489076,-0.040076416,-0.12968962,0.3364519,0.07380477,-0.22263466,-0.09989181,-0.09713331,0.08467453,0.008247007,-0.058073293,-0.16651608,0.17018038,-0.018524475,-0.0842794,-0.42622373,0.21289691,0.047399737,-0.046663396,0.26073474,-0.032345746,-0.05761709,0.16072243,0.027515918,-0.13652234,-0.065120526,0.32175565,-0.22148237,-0.025045713,0.40415633,-0.15763345,-0.14111264,-0.45315677,-0.27445838,applicant
