source,target,relation
Indah Wibowo,Japanese,speaks
Indah Wibowo,job_15,applied
Indah Wibowo,job_0,applied
Gita Permata,Telkom,attended
Gita Permata,Surabaya,lives_in
Gita Permata,Kotlin,has_skill
Gita Permata,HTML,has_skill
Gita Permata,MongoDB,has_skill
Gita Permata,Go,has_skill
Gita Permata,Mandarin,speaks
Gita Permata,job_18,applied
Gita Permata,job_0,applied
Gita Permata,job_2,applied
Kiki Saputra,Telkom,attended
Kiki Saputra,Bandung,lives_in
Kiki Saputra,HTML,has_skill
Kiki Saputra,Java,has_skill
Kiki Saputra,PHP,has_skill
Kiki Saputra,Japanese,speaks
Kiki Saputra,Indonesian,speaks
Kiki Saputra,job_10,applied
Kiki Saputra,job_10,applied
Putri Ramadhan,Telkom,attended
Putri Ramadhan,Surabaya,lives_in
Putri Ramadhan,PHP,has_skill
Putri Ramadhan,SQL,has_skill
Putri Ramadhan,Firebase,has_skill
Putri Ramadhan,Arabic,speaks
Putri Ramadhan,job_11,applied
Oka Utami,Binus,attended
Oka Utami,Tangerang,lives_in
Oka Utami,Java,has_skill
Oka Utami,Python,has_skill
Oka Utami,Indonesian,speaks
Oka Utami,job_19,applied
Indah Utami,UGM,attended
Indah Utami,Bandung,lives_in
Indah Utami,Firebase,has_skill
Indah Utami,C++,has_skill
Indah Utami,Mandarin,speaks
Indah Utami,job_8,applied
Indah Utami,job_11,applied
Indah Utami,job_5,applied
job_0,Dana,offered_by
job_0,Depok,located_in
job_0,C++,requires
job_0,HTML,requires
job_0,R,requires
job_0,C++,requires
job_1,Dana,offered_by
job_1,Jakarta,located_in
job_1,AWS,requires
job_1,Kotlin,requires
job_1,Kotlin,requires
job_2,Gojek,offered_by
job_2,Jakarta,located_in
job_2,JavaScript,requires
job_2,C++,requires
job_2,R,requires
job_2,GCP,requires
job_3,Bukalapak,offered_by
job_3,Depok,located_in
job_3,TypeScript,requires
job_3,Kubernetes,requires
job_4,Ruangguru,offered_by
job_4,Tangerang,located_in
job_4,SQL,requires
job_4,Docker,requires
job_4,NodeJS,requires
job_5,Tokopedia,offered_by
job_5,Yogyakarta,located_in
job_5,C++,requires
job_5,Swift,requires
job_5,TypeScript,requires
job_6,OVO,offered_by
job_6,Tangerang,located_in
job_6,Swift,requires
job_6,HTML,requires
job_7,Zenius,offered_by
job_7,Tangerang,located_in
job_7,GCP,requires
job_7,Kubernetes,requires
job_7,Firebase,requires
job_8,OVO,offered_by
job_8,Yogyakarta,located_in
job_8,AWS,requires
job_8,PHP,requires
job_8,NodeJS,requires
job_8,JavaScript,requires
job_9,Bukalapak,offered_by
job_9,Surabaya,located_in
job_9,JavaScript,requires
job_9,MongoDB,requires
job_9,AWS,requires
job_10,Dana,offered_by
job_10,Tangerang,located_in
job_10,NodeJS,requires
job_10,Python,requires
job_10,Firebase,requires
job_11,Traveloka,offered_by
job_11,Bandung,located_in
job_11,CSS,requires
job_11,TypeScript,requires
job_11,PHP,requires
job_12,Traveloka,offered_by
job_12,Surabaya,located_in
job_12,PHP,requires
job_12,Kubernetes,requires
job_12,Python,requires
job_12,Docker,requires
job_13,Gojek,offered_by
job_13,Jakarta,located_in
job_13,Swift,requires
job_13,Firebase,requires
job_14,Zenius,offered_by
job_14,Bandung,located_in
job_14,Firebase,requires
job_14,Firebase,requires
job_14,MongoDB,requires
job_14,Python,requires
job_15,Bukalapak,offered_by
job_15,Surabaya,located_in
job_15,Kotlin,requires
job_15,JavaScript,requires
job_16,Grab,offered_by
job_16,Tangerang,located_in
job_16,TypeScript,requires
job_16,Firebase,requires
job_16,Kubernetes,requires
job_16,Docker,requires
job_17,Traveloka,offered_by
job_17,Yogyakarta,located_in
job_17,Kubernetes,requires
job_17,NodeJS,requires
job_17,TypeScript,requires
job_17,MongoDB,requires
job_18,Grab,offered_by
job_18,Surabaya,located_in
job_18,JavaScript,requires
job_18,C++,requires
job_18,CSS,requires
job_19,Traveloka,offered_by
job_19,Jakarta,located_in
job_19,Kubernetes,requires
job_19,HTML,requires
job_19,CSS,requires
job_19,CSS,requires
