source,target,relation
Budi Saputra,Cum Laude,has_GPA_level
Joko Wibowo,Binus,attended
Joko Wibowo,Yogyakarta,lives_in
Joko Wibowo,AWS,has_skill
Joko Wibowo,Python,has_skill
Joko Wibowo,Kotlin,has_skill
Joko Wibowo,English,speaks
Joko Wibowo,Japanese,speaks
Joko Wibowo,job_12,applied
Joko Wibowo,job_13,applied
Joko Wibowo,Cisco Certified,has_certification
Joko Wibowo,Mid Level,has_experience_level
Joko Wibowo,Summa Cum Laude,has_GPA_level
Hadi Wibowo,Telkom,attended
Hadi Wibowo,Yogyakarta,lives_in
Hadi Wibowo,Kotlin,has_skill
Hadi Wibowo,NodeJS,has_skill
Hadi Wibowo,Indonesian,speaks
Hadi Wibowo,Mandarin,speaks
Hadi Wibowo,job_19,applied
Hadi Wibowo,Cisco Certified,has_certification
Hadi Wibowo,Director,has_experience_level
Hadi Wibowo,Regular,has_GPA_level
Mira Wijaya,ITB,attended
Mira Wijaya,Jakarta,lives_in
Mira Wijaya,Swift,has_skill
Mira Wijaya,Go,has_skill
Mira Wijaya,MongoDB,has_skill
Mira Wijaya,HTML,has_skill
Mira Wijaya,Japanese,speaks
Mira Wijaya,job_10,applied
Mira Wijaya,job_6,applied
Mira Wijaya,Microsoft Certified,has_certification
Mira Wijaya,CompTIA Certified,has_certification
Mira Wijaya,Manager,has_experience_level
Mira Wijaya,Summa Cum Laude,has_GPA_level
Oka Halim,Telkom,attended
Oka Halim,Surabaya,lives_in
Oka Halim,Firebase,has_skill
Oka Halim,Python,has_skill
Oka Halim,Japanese,speaks
Oka Halim,job_2,applied
Oka Halim,AWS Certified,has_certification
Oka Halim,Mid Level,has_experience_level
Oka Halim,Magna Cum Laude,has_GPA_level
Fajar Halim,ITB,attended
Fajar Halim,Depok,lives_in
Fajar Halim,JavaScript,has_skill
Fajar Halim,Go,has_skill
Fajar Halim,English,speaks
Fajar Halim,Indonesian,speaks
Fajar Halim,job_8,applied
Fajar Halim,job_11,applied
Fajar Halim,CompTIA Certified,has_certification
Fajar Halim,Director,has_experience_level
Fajar Halim,Cum Laude,has_GPA_level
Lia Saputra,UGM,attended
Lia Saputra,Surabaya,lives_in
Lia Saputra,AWS,has_skill
Lia Saputra,Python,has_skill
Lia Saputra,Arabic,speaks
Lia Saputra,Mandarin,speaks
Lia Saputra,job_6,applied
Lia Saputra,job_2,applied
Lia Saputra,AWS Certified,has_certification
Lia Saputra,Senior Level,has_experience_level
Lia Saputra,Regular,has_GPA_level
Indah Wibowo,UI,attended
Indah Wibowo,Depok,lives_in
Indah Wibowo,TypeScript,has_skill
Indah Wibowo,Kubernetes,has_skill
Indah Wibowo,Japanese,speaks
Indah Wibowo,English,speaks
Indah Wibowo,job_10,applied
Indah Wibowo,job_0,applied
Indah Wibowo,job_13,applied
Indah Wibowo,AWS Certified,has_certification
Indah Wibowo,Cisco Certified,has_certification
Indah Wibowo,Senior Level,has_experience_level
Indah Wibowo,With Honors,has_GPA_level
Tono Utami,UGM,attended
Tono Utami,Yogyakarta,lives_in
Tono Utami,Docker,has_skill
Tono Utami,PHP,has_skill
Tono Utami,Mandarin,speaks
Tono Utami,Arabic,speaks
Tono Utami,job_18,applied
Tono Utami,job_8,applied
Tono Utami,job_10,applied
Tono Utami,AWS Certified,has_certification
Tono Utami,Senior Level,has_experience_level
Tono Utami,With Honors,has_GPA_level
Rudi Saputra,Binus,attended
Rudi Saputra,Yogyakarta,lives_in
Rudi Saputra,GCP,has_skill
Rudi Saputra,Kotlin,has_skill
Rudi Saputra,NodeJS,has_skill
Rudi Saputra,Python,has_skill
Rudi Saputra,Japanese,speaks
Rudi Saputra,Indonesian,speaks
Rudi Saputra,job_6,applied
Rudi Saputra,job_11,applied
Rudi Saputra,Microsoft Certified,has_certification
Rudi Saputra,CompTIA Certified,has_certification
Rudi Saputra,Director,has_experience_level
Rudi Saputra,Summa Cum Laude,has_GPA_level
Fajar Hernawan,Unair,attended
Fajar Hernawan,Jakarta,lives_in
Fajar Hernawan,CSS,has_skill
Fajar Hernawan,SQL,has_skill
Fajar Hernawan,JavaScript,has_skill
Fajar Hernawan,Swift,has_skill
Fajar Hernawan,Arabic,speaks
Fajar Hernawan,Indonesian,speaks
Fajar Hernawan,job_15,applied
Fajar Hernawan,job_19,applied
Fajar Hernawan,job_14,applied
Fajar Hernawan,AWS Certified,has_certification
Fajar Hernawan,Senior Level,has_experience_level
Fajar Hernawan,Magna Cum Laude,has_GPA_level
Mira Wijaya,Telkom,attended
Mira Wijaya,Tangerang,lives_in
Mira Wijaya,R,has_skill
Mira Wijaya,AWS,has_skill
Mira Wijaya,Mandarin,speaks
Mira Wijaya,Japanese,speaks
Mira Wijaya,job_17,applied
Mira Wijaya,job_10,applied
Mira Wijaya,Cisco Certified,has_certification
Mira Wijaya,Microsoft Certified,has_certification
Mira Wijaya,Senior Level,has_experience_level
Mira Wijaya,Summa Cum Laude,has_GPA_level
Rudi Saputra,Binus,attended
Rudi Saputra,Jakarta,lives_in
Rudi Saputra,CSS,has_skill
Rudi Saputra,NodeJS,has_skill
Rudi Saputra,C++,has_skill
Rudi Saputra,HTML,has_skill
Rudi Saputra,Indonesian,speaks
Rudi Saputra,job_15,applied
Rudi Saputra,job_8,applied
Rudi Saputra,job_16,applied
Rudi Saputra,AWS Certified,has_certification
Rudi Saputra,Google Cloud Certified,has_certification
Rudi Saputra,Senior Level,has_experience_level
Rudi Saputra,Magna Cum Laude,has_GPA_level
Kiki Santoso,ITS,attended
Kiki Santoso,Bandung,lives_in
Kiki Santoso,Python,has_skill
Kiki Santoso,Kubernetes,has_skill
Kiki Santoso,Go,has_skill
Kiki Santoso,English,speaks
Kiki Santoso,Arabic,speaks
Kiki Santoso,job_9,applied
Kiki Santoso,job_4,applied
Kiki Santoso,job_15,applied
Kiki Santoso,AWS Certified,has_certification
Kiki Santoso,Director,has_experience_level
Kiki Santoso,Summa Cum Laude,has_GPA_level
Hadi Santoso,IPB,attended
Hadi Santoso,Yogyakarta,lives_in
Hadi Santoso,NodeJS,has_skill
Hadi Santoso,HTML,has_skill
Hadi Santoso,Java,has_skill
Hadi Santoso,Mandarin,speaks
Hadi Santoso,English,speaks
Hadi Santoso,job_12,applied
Hadi Santoso,AWS Certified,has_certification
Hadi Santoso,CompTIA Certified,has_certification
Hadi Santoso,Mid Level,has_experience_level
Hadi Santoso,Magna Cum Laude,has_GPA_level
Kiki Ramadhan,UMN,attended
Kiki Ramadhan,Surabaya,lives_in
Kiki Ramadhan,JavaScript,has_skill
Kiki Ramadhan,C++,has_skill
Kiki Ramadhan,Arabic,speaks
Kiki Ramadhan,Indonesian,speaks
Kiki Ramadhan,job_12,applied
Kiki Ramadhan,job_14,applied
Kiki Ramadhan,job_18,applied
Kiki Ramadhan,CompTIA Certified,has_certification
Kiki Ramadhan,Cisco Certified,has_certification
Kiki Ramadhan,Senior Level,has_experience_level
Kiki Ramadhan,Regular,has_GPA_level
Indah Wibowo,UMN,attended
Indah Wibowo,Jakarta,lives_in
Indah Wibowo,C++,has_skill
Indah Wibowo,CSS,has_skill
Indah Wibowo,AWS,has_skill
Indah Wibowo,PHP,has_skill
Indah Wibowo,Indonesian,speaks
Indah Wibowo,job_5,applied
Indah Wibowo,Google Cloud Certified,has_certification
Indah Wibowo,Entry Level,has_experience_level
Indah Wibowo,With Honors,has_GPA_level
Gita Permata,IPB,attended
Gita Permata,Tangerang,lives_in
Gita Permata,Firebase,has_skill
Gita Permata,R,has_skill
Gita Permata,Java,has_skill
Gita Permata,JavaScript,has_skill
Gita Permata,Japanese,speaks
Gita Permata,Mandarin,speaks
Gita Permata,job_7,applied
Gita Permata,CompTIA Certified,has_certification
Gita Permata,Google Cloud Certified,has_certification
Gita Permata,Manager,has_experience_level
Gita Permata,Cum Laude,has_GPA_level
Kiki Saputra,Unair,attended
Kiki Saputra,Bandung,lives_in
Kiki Saputra,Go,has_skill
Kiki Saputra,PHP,has_skill
Kiki Saputra,GCP,has_skill
Kiki Saputra,SQL,has_skill
Kiki Saputra,Indonesian,speaks
Kiki Saputra,job_19,applied
Kiki Saputra,job_18,applied
Kiki Saputra,Cisco Certified,has_certification
Kiki Saputra,AWS Certified,has_certification
Kiki Saputra,Manager,has_experience_level
Kiki Saputra,Summa Cum Laude,has_GPA_level
Putri Ramadhan,Telkom,attended
Putri Ramadhan,Surabaya,lives_in
Putri Ramadhan,Kubernetes,has_skill
Putri Ramadhan,Firebase,has_skill
Putri Ramadhan,MongoDB,has_skill
Putri Ramadhan,SQL,has_skill
Putri Ramadhan,Mandarin,speaks
Putri Ramadhan,job_10,applied
Putri Ramadhan,job_8,applied
Putri Ramadhan,job_0,applied
Putri Ramadhan,Google Cloud Certified,has_certification
Putri Ramadhan,Director,has_experience_level
Putri Ramadhan,Regular,has_GPA_level
Oka Utami,ITB,attended
Oka Utami,Tangerang,lives_in
Oka Utami,AWS,has_skill
Oka Utami,Java,has_skill
Oka Utami,HTML,has_skill
Oka Utami,Arabic,speaks
Oka Utami,Mandarin,speaks
Oka Utami,job_5,applied
Oka Utami,job_18,applied
Oka Utami,Cisco Certified,has_certification
Oka Utami,AWS Certified,has_certification
Oka Utami,Manager,has_experience_level
Oka Utami,Summa Cum Laude,has_GPA_level
Indah Utami,Telkom,attended
Indah Utami,Surabaya,lives_in
Indah Utami,C++,has_skill
Indah Utami,HTML,has_skill
Indah Utami,NodeJS,has_skill
Indah Utami,Mandarin,speaks
Indah Utami,Japanese,speaks
Indah Utami,job_12,applied
Indah Utami,job_17,applied
Indah Utami,job_1,applied
Indah Utami,AWS Certified,has_certification
Indah Utami,Microsoft Certified,has_certification
Indah Utami,Senior Level,has_experience_level
Indah Utami,Summa Cum Laude,has_GPA_level
job_0,Bukalapak,offered_by
job_0,Yogyakarta,located_in
job_0,Python,requires
job_0,Kubernetes,requires
job_0,MongoDB,requires
job_0,Swift,requires
job_0,Entry Level,requires_experience_level
job_0,Google Cloud Certified,requires_certification
job_0,Network Engineer,is_job_role
job_0,Summa Cum Laude,requires_GPA_level
job_1,Dana,offered_by
job_1,Yogyakarta,located_in
job_1,MongoDB,requires
job_1,Java,requires
job_1,CSS,requires
job_1,PHP,requires
job_1,Director,requires_experience_level
job_1,Google Cloud Certified,requires_certification
job_1,DevOps Engineer,is_job_role
job_1,With Honors,requires_GPA_level
job_2,OVO,offered_by
job_2,Jakarta,located_in
job_2,GCP,requires
job_2,JavaScript,requires
job_2,Mid Level,requires_experience_level
job_2,Microsoft Certified,requires_certification
job_2,Network Engineer,is_job_role
job_2,Cum Laude,requires_GPA_level
job_3,Zenius,offered_by
job_3,Yogyakarta,located_in
job_3,JavaScript,requires
job_3,C++,requires
job_3,Manager,requires_experience_level
job_3,AWS Certified,requires_certification
job_3,Web Developer,is_job_role
job_3,With Honors,requires_GPA_level
job_4,Grab,offered_by
job_4,Depok,located_in
job_4,PHP,requires
job_4,Swift,requires
job_4,Firebase,requires
job_4,Firebase,requires
job_4,Mid Level,requires_experience_level
job_4,Cisco Certified,requires_certification
job_4,Network Engineer,is_job_role
job_4,Magna Cum Laude,requires_GPA_level
job_5,Ruangguru,offered_by
job_5,Bandung,located_in
job_5,Docker,requires
job_5,Go,requires
job_5,SQL,requires
job_5,PHP,requires
job_5,Manager,requires_experience_level
job_5,Microsoft Certified,requires_certification
job_5,Network Engineer,is_job_role
job_5,Summa Cum Laude,requires_GPA_level
job_6,Tokopedia,offered_by
job_6,Surabaya,located_in
job_6,R,requires
job_6,AWS,requires
job_6,AWS,requires
job_6,Firebase,requires
job_6,Mid Level,requires_experience_level
job_6,Cisco Certified,requires_certification
job_6,Network Engineer,is_job_role
job_6,With Honors,requires_GPA_level
job_7,Traveloka,offered_by
job_7,Surabaya,located_in
job_7,Kubernetes,requires
job_7,Kotlin,requires
job_7,MongoDB,requires
job_7,NodeJS,requires
job_7,Mid Level,requires_experience_level
job_7,Google Cloud Certified,requires_certification
job_7,Database Administrator,is_job_role
job_7,With Honors,requires_GPA_level
job_8,Gojek,offered_by
job_8,Yogyakarta,located_in
job_8,NodeJS,requires
job_8,Firebase,requires
job_8,Manager,requires_experience_level
job_8,Cisco Certified,requires_certification
job_8,Web Developer,is_job_role
job_8,With Honors,requires_GPA_level
job_9,Tokopedia,offered_by
job_9,Bandung,located_in
job_9,AWS,requires
job_9,NodeJS,requires
job_9,C++,requires
job_9,MongoDB,requires
job_9,Entry Level,requires_experience_level
job_9,CompTIA Certified,requires_certification
job_9,System Analyst,is_job_role
job_9,Cum Laude,requires_GPA_level
job_10,Shopee,offered_by
job_10,Yogyakarta,located_in
job_10,Go,requires
job_10,SQL,requires
job_10,Firebase,requires
job_10,PHP,requires
job_10,Senior Level,requires_experience_level
job_10,CompTIA Certified,requires_certification
job_10,Product Manager,is_job_role
job_10,Cum Laude,requires_GPA_level
job_11,Traveloka,offered_by
job_11,Tangerang,located_in
job_11,Kotlin,requires
job_11,NodeJS,requires
job_11,Firebase,requires
job_11,Kubernetes,requires
job_11,Entry Level,requires_experience_level
job_11,CompTIA Certified,requires_certification
job_11,Data Scientist,is_job_role
job_11,Magna Cum Laude,requires_GPA_level
job_12,Grab,offered_by
job_12,Bandung,located_in
job_12,SQL,requires
job_12,Swift,requires
job_12,C++,requires
job_12,C++,requires
job_12,Manager,requires_experience_level
job_12,Google Cloud Certified,requires_certification
job_12,DevOps Engineer,is_job_role
job_12,Cum Laude,requires_GPA_level
job_13,Tokopedia,offered_by
job_13,Surabaya,located_in
job_13,R,requires
job_13,TypeScript,requires
job_13,Senior Level,requires_experience_level
job_13,Cisco Certified,requires_certification
job_13,Web Developer,is_job_role
job_13,Magna Cum Laude,requires_GPA_level
job_14,Zenius,offered_by
job_14,Yogyakarta,located_in
job_14,HTML,requires
job_14,HTML,requires
job_14,HTML,requires
job_14,SQL,requires
job_14,Director,requires_experience_level
job_14,Cisco Certified,requires_certification
job_14,Database Administrator,is_job_role
job_14,Magna Cum Laude,requires_GPA_level
job_15,OVO,offered_by
job_15,Depok,located_in
job_15,JavaScript,requires
job_15,MongoDB,requires
job_15,Senior Level,requires_experience_level
job_15,Cisco Certified,requires_certification
job_15,DevOps Engineer,is_job_role
job_15,Cum Laude,requires_GPA_level
job_16,OVO,offered_by
job_16,Surabaya,located_in
job_16,Kubernetes,requires
job_16,HTML,requires
job_16,SQL,requires
job_16,MongoDB,requires
job_16,Senior Level,requires_experience_level
job_16,CompTIA Certified,requires_certification
job_16,DevOps Engineer,is_job_role
job_16,With Honors,requires_GPA_level
job_17,Grab,offered_by
job_17,Yogyakarta,located_in
job_17,CSS,requires
job_17,Kotlin,requires
job_17,Firebase,requires
job_17,Entry Level,requires_experience_level
job_17,Google Cloud Certified,requires_certification
