applicant,job,accepted
Citra Sukmawati,job_0,0
Citra Wicaksono,job_7,1
Citra Wicaksono,job_1,1
Citra Sutanto,job_1,1
Citra Sutanto,job_2,1
Citra Wicaksono,job_0,0
Citra Wicaksono,job_9,1
Citra Prabowo,job_8,1
Citra Prabowo,job_9,0
Citra Haryanto,job_6,1
Citra Haryanto,job_3,0
Citra Lestari,job_0,1
Citra Lestari,job_9,0
Citra Nugroho,job_4,1
Citra Nugroho,job_9,1
Citra Siregar,job_9,0
Citra Siregar,job_4,1
Citra Yulianto,job_3,1
Citra Yulianto,job_2,1
Citra Kusuma,job_3,0
Citra Kusuma,job_2,0
Citra Hidayat,job_3,0
Citra Hidayat,job_8,0
Citra Purnama,job_1,0
Citra Purnama,job_4,1
Dewi Santoso,job_3,1
Dewi Santoso,job_6,0
Dewi Wibowo,job_2,0
Dewi Wibowo,job_9,1
Dewi Utami,job_0,0
Dewi Utami,job_3,1
Dewi Saputra,job_9,0
Dewi Saputra,job_6,1
Dewi Wijaya,job_1,0
Dewi Wijaya,job_6,1
Dewi Halim,job_6,1
Dewi Halim,job_9,0
Dewi Ramadhan,job_3,0
Dewi Ramadhan,job_7,0
Dewi Hernawan,job_5,1
Dewi Hernawan,job_9,1
Dewi Fauzi,job_6,0
Dewi Fauzi,job_7,1
Dewi Permata,job_1,1
Dewi Permata,job_6,0
Dewi Suryanto,job_3,1
Dewi Suryanto,job_5,1
Dewi Prabowo,job_4,1
Dewi Prabowo,job_3,0
Dewi Sihombing,job_0,0
Dewi Sihombing,job_3,1
Dewi Gunawan,job_0,0
Dewi Gunawan,job_6,1
Dewi Lestari,job_0,1
Dewi Lestari,job_7,1
Dewi Nugroho,job_6,1
Dewi Nugroho,job_1,1
Dewi Siregar,job_4,0
Dewi Siregar,job_5,1
Dewi Yulianto,job_2,1
Dewi Yulianto,job_9,1
Dewi Kusuma,job_8,0
Dewi Kusuma,job_9,0
Dewi Hidayat,job_6,1
Dewi Hidayat,job_5,1
Dewi Purnama,job_2,0
Dewi Purnama,job_1,0
Dewi aditya,job_4,0
Dewi aditya,job_1,1
Dewi Prasetyo,job_2,1
Dewi Prasetyo,job_4,1
Dewi Sutrisno,job_2,0
Dewi Sutrisno,job_3,1
Dewi Wulandari,job_1,0
Dewi Wulandari,job_3,0
Dewi Siregar,job_9,1
Dewi Siregar,job_2,1
Dewi Haryanto,job_6,1
Dewi Haryanto,job_2,0
Dewi Larasati,job_3,1
Dewi Larasati,job_1,1
Dewi Prabuwono,job_2,1
Dewi Prabuwono,job_8,1
Dewi Kurniawan,job_5,1
Dewi Kurniawan,job_2,0
Dewi Sukmawati,job_3,1
Dewi Sukmawati,job_0,1
Dewi Wicaksono,job_4,0
Dewi Wicaksono,job_8,1
Dewi Sutanto,job_0,1
Dewi Sutanto,job_6,1
Dewi Wicaksono,job_2,1
Dewi Wicaksono,job_9,0
Dewi Prabowo,job_5,1
Dewi Prabowo,job_4,1
Dewi Haryanto,job_1,1
Dewi Haryanto,job_3,0
Dewi Lestari,job_0,0
Dewi Lestari,job_1,1
Dewi Nugroho,job_4,0
Dewi Nugroho,job_7,0
Dewi Siregar,job_6,1
Dewi Siregar,job_8,1
Dewi Yulianto,job_8,0
Dewi Yulianto,job_7,0
Dewi Kusuma,job_5,0
Dewi Kusuma,job_6,1
Dewi Hidayat,job_6,0
Dewi Hidayat,job_2,0
Dewi Purnama,job_0,1
Dewi Purnama,job_3,0
Eka Santoso,job_4,0
Eka Santoso,job_1,0
Eka Wibowo,job_6,1
Eka Wibowo,job_4,1
Eka Utami,job_3,1
Eka Utami,job_0,0
Eka Saputra,job_2,0
Eka Saputra,job_7,0
Eka Wijaya,job_2,1
Eka Wijaya,job_4,1
Eka Halim,job_3,1
Eka Halim,job_7,1
Eka Ramadhan,job_7,0
Eka Ramadhan,job_5,0
Eka Hernawan,job_6,1
Eka Hernawan,job_0,1
Eka Fauzi,job_1,1
Eka Fauzi,job_4,1
Eka Permata,job_6,1
Eka Permata,job_9,1
Eka Suryanto,job_8,0
Eka Suryanto,job_9,0
Eka Prabowo,job_7,1
Eka Prabowo,job_1,1
Eka Sihombing,job_8,1
Eka Sihombing,job_2,1
Eka Gunawan,job_8,1
Eka Gunawan,job_4,1
Eka Lestari,job_8,1
Eka Lestari,job_5,1
Eka Nugroho,job_9,1
Eka Nugroho,job_7,1
Eka Siregar,job_5,0
Eka Siregar,job_0,0
Eka Yulianto,job_7,0
Eka Yulianto,job_9,1
Eka Kusuma,job_8,1
Eka Kusuma,job_9,0
Eka Hidayat,job_6,0
Eka Hidayat,job_5,1
Eka Purnama,job_4,1
Eka Purnama,job_2,0
Eka aditya,job_1,1
Eka aditya,job_6,1
Eka Prasetyo,job_0,1
Eka Prasetyo,job_4,1
Eka Sutrisno,job_6,0
Eka Sutrisno,job_3,0
Eka Wulandari,job_2,1
Eka Wulandari,job_6,1
Eka Siregar,job_3,0
Eka Siregar,job_0,1
Eka Haryanto,job_0,0
Eka Haryanto,job_4,0
Eka Larasati,job_3,0
Eka Larasati,job_7,1
Eka Prabuwono,job_7,1
Eka Prabuwono,job_1,1
Eka Kurniawan,job_5,0
Eka Kurniawan,job_9,0
Eka Sukmawati,job_4,0
Eka Sukmawati,job_8,0
Eka Wicaksono,job_5,0
Eka Wicaksono,job_9,1
Eka Sutanto,job_9,0
Eka Sutanto,job_8,0
Eka Wicaksono,job_3,0
Eka Wicaksono,job_9,1
Eka Prabowo,job_4,0
Eka Prabowo,job_5,1
Eka Haryanto,job_6,0
Eka Haryanto,job_0,1
Eka Lestari,job_4,0
Eka Lestari,job_1,0
Eka Nugroho,job_3,1
Eka Nugroho,job_9,1
Eka Siregar,job_1,1
Eka Siregar,job_8,1
Eka Yulianto,job_6,1
Eka Yulianto,job_9,1
Eka Kusuma,job_3,0
Eka Kusuma,job_2,1
Eka Hidayat,job_1,0
Eka Hidayat,job_5,1
Eka Purnama,job_6,1
Eka Purnama,job_9,1
Fajar Santoso,job_0,0
Fajar Santoso,job_5,1
Fajar Wibowo,job_3,0
Fajar Wibowo,job_7,0
Fajar Utami,job_6,0
Fajar Utami,job_3,0
Fajar Saputra,job_4,0
Fajar Saputra,job_3,1
Fajar Wijaya,job_2,0
Fajar Wijaya,job_5,0
Fajar Halim,job_1,1
Fajar Halim,job_9,0
Fajar Ramadhan,job_2,1
Fajar Ramadhan,job_8,0
Fajar Hernawan,job_2,1
Fajar Hernawan,job_0,1
Fajar Fauzi,job_2,0
Fajar Fauzi,job_4,1
Fajar Permata,job_5,1
Fajar Permata,job_1,0
Fajar Suryanto,job_5,1
Fajar Suryanto,job_1,1
Fajar Prabowo,job_0,0
Fajar Prabowo,job_9,1
Fajar Sihombing,job_2,0
Fajar Sihombing,job_6,1
Fajar Gunawan,job_4,0
Fajar Gunawan,job_9,0
Fajar Lestari,job_9,1
Fajar Lestari,job_4,1
Fajar Nugroho,job_4,0
Fajar Nugroho,job_2,0
Fajar Siregar,job_1,0
Fajar Siregar,job_7,0
Fajar Yulianto,job_0,0
Fajar Yulianto,job_6,0
Fajar Kusuma,job_7,1
Fajar Kusuma,job_9,1
Fajar Hidayat,job_4,1
Fajar Hidayat,job_6,0
Fajar Purnama,job_4,1
Fajar Purnama,job_5,1
Fajar aditya,job_2,1
Fajar aditya,job_0,0
Fajar Prasetyo,job_1,1
Fajar Prasetyo,job_2,0
Fajar Sutrisno,job_2,1
Fajar Sutrisno,job_1,1
Fajar Wulandari,job_5,0
Fajar Wulandari,job_3,1
Fajar Siregar,job_1,0
Fajar Siregar,job_8,1
Fajar Haryanto,job_3,0
Fajar Haryanto,job_7,1
Fajar Larasati,job_6,1
Fajar Larasati,job_3,1
Fajar Prabuwono,job_4,1
Fajar Prabuwono,job_6,1
Fajar Kurniawan,job_6,0
Fajar Kurniawan,job_5,0
Fajar Sukmawati,job_6,0
Fajar Sukmawati,job_5,0
Fajar Wicaksono,job_2,0
Fajar Wicaksono,job_0,1
Fajar Sutanto,job_4,1
Fajar Sutanto,job_6,0
Fajar Wicaksono,job_5,1
Fajar Wicaksono,job_2,1
Fajar Prabowo,job_8,0
Fajar Prabowo,job_7,0
Fajar Haryanto,job_2,1
Fajar Haryanto,job_6,1
Fajar Lestari,job_5,0
Fajar Lestari,job_9,1
Fajar Nugroho,job_0,1
Fajar Nugroho,job_1,0
Fajar Siregar,job_8,1
Fajar Siregar,job_3,1
Fajar Yulianto,job_8,1
Fajar Yulianto,job_4,0
Fajar Kusuma,job_9,1
Fajar Kusuma,job_3,0
Fajar Hidayat,job_0,0
Fajar Hidayat,job_7,0
Fajar Purnama,job_4,0
Fajar Purnama,job_8,1
Gita Santoso,job_4,1
Gita Santoso,job_5,1
Gita Wibowo,job_1,0
Gita Wibowo,job_7,1
Gita Utami,job_7,0
Gita Utami,job_3,0
Gita Saputra,job_3,1
Gita Saputra,job_7,0
Gita Wijaya,job_0,0
Gita Wijaya,job_3,0
Gita Halim,job_6,1
Gita Halim,job_4,1
Gita Ramadhan,job_3,1
Gita Ramadhan,job_7,1
Gita Hernawan,job_0,0
Gita Hernawan,job_1,1
Gita Fauzi,job_8,1
Gita Fauzi,job_6,0
Gita Permata,job_4,0
Gita Permata,job_0,1
Gita Suryanto,job_8,1
Gita Suryanto,job_9,1
Gita Prabowo,job_3,1
Gita Prabowo,job_6,1
Gita Sihombing,job_8,1
Gita Sihombing,job_3,0
Gita Gunawan,job_5,0
Gita Gunawan,job_3,1
Gita Lestari,job_2,1
Gita Lestari,job_4,1
Gita Nugroho,job_4,1
Gita Nugroho,job_6,1
Gita Siregar,job_2,1
Gita Siregar,job_5,0
Gita Yulianto,job_4,0
Gita Yulianto,job_8,0
Gita Kusuma,job_1,0
Gita Kusuma,job_2,0
Gita Hidayat,job_0,1
Gita Hidayat,job_3,0
Gita Purnama,job_4,1
Gita Purnama,job_2,0
Gita aditya,job_1,0
Gita aditya,job_8,0
Gita Prasetyo,job_7,1
Gita Prasetyo,job_8,0
Gita Sutrisno,job_4,1
Gita Sutrisno,job_1,1
Gita Wulandari,job_2,0
Gita Wulandari,job_6,1
Gita Siregar,job_4,0
Gita Siregar,job_0,0
Gita Haryanto,job_1,1
Gita Haryanto,job_9,1
Gita Larasati,job_8,1
Gita Larasati,job_9,0
Gita Prabuwono,job_5,1
Gita Prabuwono,job_0,1
Gita Kurniawan,job_6,0
Gita Kurniawan,job_1,1
Gita Sukmawati,job_6,1
Gita Sukmawati,job_3,0
Gita Wicaksono,job_7,0
Gita Wicaksono,job_1,0
Gita Sutanto,job_7,0
Gita Sutanto,job_8,1
Gita Wicaksono,job_5,0
Gita Wicaksono,job_3,1
Gita Prabowo,job_3,1
Gita Prabowo,job_0,1
Gita Haryanto,job_5,0
Gita Haryanto,job_9,0
Gita Lestari,job_5,1
Gita Lestari,job_7,0
Gita Nugroho,job_9,1
Gita Nugroho,job_8,1
Gita Siregar,job_2,1
Gita Siregar,job_7,0
Gita Yulianto,job_5,0
Gita Yulianto,job_1,1
Gita Kusuma,job_5,1
Gita Kusuma,job_3,0
Gita Hidayat,job_4,0
Gita Hidayat,job_0,1
Gita Purnama,job_4,1
Gita Purnama,job_2,0
Hadi Santoso,job_2,1
Hadi Santoso,job_4,0
Hadi Wibowo,job_1,1
Hadi Wibowo,job_8,0
Hadi Utami,job_4,1
Hadi Utami,job_6,0
Hadi Saputra,job_5,0
Hadi Saputra,job_2,0
Hadi Wijaya,job_8,1
Hadi Wijaya,job_1,1
Hadi Halim,job_4,1
Hadi Halim,job_5,1
Hadi Ramadhan,job_9,0
Hadi Ramadhan,job_3,1
Hadi Hernawan,job_0,1
Hadi Hernawan,job_4,0
Hadi Fauzi,job_8,0
Hadi Fauzi,job_1,0
Hadi Permata,job_9,1
Hadi Permata,job_8,1
Hadi Suryanto,job_4,0
Hadi Suryanto,job_1,0
Hadi Prabowo,job_0,0
Hadi Prabowo,job_4,1
Hadi Sihombing,job_5,0
Hadi Sihombing,job_4,1
Hadi Gunawan,job_1,1
Hadi Gunawan,job_0,1
Hadi Lestari,job_7,1
Hadi Lestari,job_5,1
Hadi Nugroho,job_2,0
Hadi Nugroho,job_8,1
Hadi Siregar,job_5,1
Hadi Siregar,job_2,0
Hadi Yulianto,job_1,1
Hadi Yulianto,job_0,0
Hadi Kusuma,job_2,0
Hadi Kusuma,job_9,0
Hadi Hidayat,job_8,0
Hadi Hidayat,job_3,1
Hadi Purnama,job_8,0
Hadi Purnama,job_4,0
Hadi aditya,job_3,0
Hadi aditya,job_7,1
Hadi Prasetyo,job_3,1
Hadi Prasetyo,job_6,0
Hadi Sutrisno,job_5,0
Hadi Sutrisno,job_2,0
Hadi Wulandari,job_9,1
Hadi Wulandari,job_4,0
Hadi Siregar,job_1,1
Hadi Siregar,job_6,1
Hadi Haryanto,job_0,1
Hadi Haryanto,job_1,1
Hadi Larasati,job_4,0
Hadi Larasati,job_2,0
Hadi Prabuwono,job_9,0
Hadi Prabuwono,job_1,1
Hadi Kurniawan,job_0,0
Hadi Kurniawan,job_3,0
Hadi Sukmawati,job_1,1
Hadi Sukmawati,job_6,1
Hadi Wicaksono,job_1,0
Hadi Wicaksono,job_0,0
Hadi Sutanto,job_0,1
Hadi Sutanto,job_6,1
Hadi Wicaksono,job_2,0
Hadi Wicaksono,job_9,0
Hadi Prabowo,job_5,0
Hadi Prabowo,job_9,1
Hadi Haryanto,job_8,0
Hadi Haryanto,job_4,1
Hadi Lestari,job_2,1
Hadi Lestari,job_3,1
Hadi Nugroho,job_3,1
Hadi Nugroho,job_7,1
Hadi Siregar,job_0,1
Hadi Siregar,job_4,1
Hadi Yulianto,job_0,0
Hadi Yulianto,job_9,1
Hadi Kusuma,job_3,1
Hadi Kusuma,job_6,1
Hadi Hidayat,job_4,1
Hadi Hidayat,job_9,1
Hadi Purnama,job_7,1
Hadi Purnama,job_8,0
Indah Santoso,job_4,1
Indah Santoso,job_3,0
Indah Wibowo,job_4,0
Indah Wibowo,job_7,1
Indah Utami,job_7,0
Indah Utami,job_3,1
Indah Saputra,job_3,1
Indah Saputra,job_7,0
Indah Wijaya,job_8,0
Indah Wijaya,job_9,1
Indah Halim,job_4,1
Indah Halim,job_5,0
Indah Ramadhan,job_4,0
Indah Ramadhan,job_8,0
Indah Hernawan,job_0,1
Indah Hernawan,job_1,0
Indah Fauzi,job_3,1
Indah Fauzi,job_4,1
Indah Permata,job_8,0
Indah Permata,job_9,0
Indah Suryanto,job_8,1
Indah Suryanto,job_0,1
Indah Prabowo,job_8,0
Indah Prabowo,job_6,1
Indah Sihombing,job_3,1
Indah Sihombing,job_2,1
Indah Gunawan,job_6,0
Indah Gunawan,job_4,1
Indah Lestari,job_3,1
Indah Lestari,job_6,0
Indah Nugroho,job_9,1
Indah Nugroho,job_5,0
Indah Siregar,job_3,1
Indah Siregar,job_9,0
Indah Yulianto,job_5,0
Indah Yulianto,job_7,1
Indah Kusuma,job_7,0
Indah Kusuma,job_3,0
Indah Hidayat,job_1,0
Indah Hidayat,job_9,1
Indah Purnama,job_6,1
Indah Purnama,job_0,1
Indah aditya,job_1,0
Indah aditya,job_9,0
Indah Prasetyo,job_7,1
Indah Prasetyo,job_2,1
Indah Sutrisno,job_5,1
Indah Sutrisno,job_1,1
Indah Wulandari,job_9,1
Indah Wulandari,job_6,1
Indah Siregar,job_9,0
Indah Siregar,job_7,1
Indah Haryanto,job_3,1
Indah Haryanto,job_1,1
Indah Larasati,job_9,0
Indah Larasati,job_8,0
Indah Prabuwono,job_3,0
Indah Prabuwono,job_0,1
Indah Kurniawan,job_2,0
Indah Kurniawan,job_0,1
Indah Sukmawati,job_3,0
Indah Sukmawati,job_6,1
Indah Wicaksono,job_8,0
Indah Wicaksono,job_3,1
Indah Sutanto,job_6,0
Indah Sutanto,job_5,0
Indah Wicaksono,job_8,1
Indah Wicaksono,job_2,1
Indah Prabowo,job_9,0
Indah Prabowo,job_0,1
Indah Haryanto,job_2,0
Indah Haryanto,job_3,0
Indah Lestari,job_3,1
Indah Lestari,job_9,1
Indah Nugroho,job_0,1
Indah Nugroho,job_7,1
Indah Siregar,job_1,1
Indah Siregar,job_3,0
Indah Yulianto,job_4,1
Indah Yulianto,job_6,1
Indah Kusuma,job_2,1
Indah Kusuma,job_7,1
Indah Hidayat,job_0,1
Indah Hidayat,job_8,0
Indah Purnama,job_6,1
Indah Purnama,job_1,1
Joko Santoso,job_1,1
Joko Santoso,job_2,0
Joko Wibowo,job_2,0
Joko Wibowo,job_4,0
Joko Utami,job_8,0
Joko Utami,job_5,1
Joko Saputra,job_9,0
Joko Saputra,job_8,1
Joko Wijaya,job_7,1
Joko Wijaya,job_6,0
Joko Halim,job_7,1
Joko Halim,job_4,0
Joko Ramadhan,job_0,1
Joko Ramadhan,job_3,1
Joko Hernawan,job_8,0
Joko Hernawan,job_7,0
Joko Fauzi,job_1,0
Joko Fauzi,job_2,1
Joko Permata,job_8,0
Joko Permata,job_1,1
Joko Suryanto,job_9,1
Joko Suryanto,job_2,1
Joko Prabowo,job_3,1
Joko Prabowo,job_2,1
Joko Sihombing,job_9,0
Joko Sihombing,job_8,1
Joko Gunawan,job_8,1
Joko Gunawan,job_1,0
Joko Lestari,job_4,1
Joko Lestari,job_9,1
Joko Nugroho,job_2,0
Joko Nugroho,job_0,0
Joko Siregar,job_3,1
Joko Siregar,job_2,1
Joko Yulianto,job_1,1
Joko Yulianto,job_8,1
Joko Kusuma,job_6,1
Joko Kusuma,job_8,0
Joko Hidayat,job_7,0
Joko Hidayat,job_2,0
Joko Purnama,job_5,1
Joko Purnama,job_0,1
Joko aditya,job_0,0
Joko aditya,job_9,0
Joko Prasetyo,job_1,1
Joko Prasetyo,job_5,0
Joko Sutrisno,job_9,1
Joko Sutrisno,job_1,1
Joko Wulandari,job_1,0
Joko Wulandari,job_7,0
Joko Siregar,job_5,1
Joko Siregar,job_0,0
Joko Haryanto,job_9,0
Joko Haryanto,job_0,0
Joko Larasati,job_5,0
Joko Larasati,job_6,0
Joko Prabuwono,job_8,0
Joko Prabuwono,job_4,1
Joko Kurniawan,job_1,0
Joko Kurniawan,job_8,0
Joko Sukmawati,job_9,1
Joko Sukmawati,job_8,1
Joko Wicaksono,job_1,1
Joko Wicaksono,job_2,0
Joko Sutanto,job_8,1
Joko Sutanto,job_0,0
Joko Wicaksono,job_8,1
Joko Wicaksono,job_6,1
Joko Prabowo,job_0,1
Joko Prabowo,job_9,0
Joko Haryanto,job_6,1
Joko Haryanto,job_5,1
Joko Lestari,job_8,1
Joko Lestari,job_4,1
Joko Nugroho,job_9,1
Joko Nugroho,job_1,1
Joko Siregar,job_4,1
Joko Siregar,job_8,1
Joko Yulianto,job_0,1
Joko Yulianto,job_5,1
Joko Kusuma,job_9,0
Joko Kusuma,job_6,0
Joko Hidayat,job_0,1
Joko Hidayat,job_7,1
Joko Purnama,job_6,1
Joko Purnama,job_8,1
Kiki Santoso,job_0,1
Kiki Santoso,job_8,1
Kiki Wibowo,job_4,0
Kiki Wibowo,job_0,0
Kiki Utami,job_4,1
Kiki Utami,job_8,1
Kiki Saputra,job_8,1
Kiki Saputra,job_0,0
Kiki Wijaya,job_2,0
Kiki Wijaya,job_8,1
Kiki Halim,job_3,1
Kiki Halim,job_8,0
Kiki Ramadhan,job_3,0
Kiki Ramadhan,job_8,1
Kiki Hernawan,job_3,0
Kiki Hernawan,job_2,1
Kiki Fauzi,job_6,0
Kiki Fauzi,job_4,0
Kiki Permata,job_4,1
Kiki Permata,job_6,1
Kiki Suryanto,job_6,1
Kiki Suryanto,job_2,0
Kiki Prabowo,job_8,1
Kiki Prabowo,job_6,1
Kiki Sihombing,job_4,0
Kiki Sihombing,job_1,1
Kiki Gunawan,job_6,0
Kiki Gunawan,job_4,0
Kiki Lestari,job_2,0
Kiki Lestari,job_5,1
Kiki Nugroho,job_4,1
Kiki Nugroho,job_0,1
Kiki Siregar,job_5,1
Kiki Siregar,job_9,1
Kiki Yulianto,job_3,0
Kiki Yulianto,job_0,0
Kiki Kusuma,job_4,0
Kiki Kusuma,job_6,0
Kiki Hidayat,job_8,1
Kiki Hidayat,job_9,0
Kiki Purnama,job_3,1
Kiki Purnama,job_1,1
Kiki aditya,job_8,1
Kiki aditya,job_9,0
Kiki Prasetyo,job_5,0
Kiki Prasetyo,job_2,0
Kiki Sutrisno,job_0,1
Kiki Sutrisno,job_5,0
Kiki Wulandari,job_0,1
Kiki Wulandari,job_4,0
Kiki Siregar,job_3,1
Kiki Siregar,job_5,1
Kiki Haryanto,job_9,0
Kiki Haryanto,job_5,1
Kiki Larasati,job_3,0
Kiki Larasati,job_2,1
Kiki Prabuwono,job_9,0
Kiki Prabuwono,job_7,0
Kiki Kurniawan,job_1,1
Kiki Kurniawan,job_8,0
Kiki Sukmawati,job_3,0
Kiki Sukmawati,job_1,1
Kiki Wicaksono,job_3,1
Kiki Wicaksono,job_2,1
